77.0 32.1 18.5
26.8 4.5 11.9
16.9 80.9 78.3
83.1 71.8 15.7
30.5 17.2 27.8
60.7 29.6 45.7
2.4 98.6 42.8
12.4 82.7 12.6
8.9 87.0 41.2
37.8 9.0 15.7
32.5 62.6 21.2
84.9 10.9 2.0
85.2 1.5 17.2
74.9 15.9 23.4
80.9 29.1 11.6
37.5 15.6 14.2
30.2 91.1 23.5
91.5 25.8 76.7
50.5 59.3 64.9
39.5 68.6 36.9
93.8 25.6 98.2
85.4 71.5 45.1
12.1 59.5 89.1
91.2 0.0 33.0
43.9 55.1 89.4
63.4 74.8 53.9
74.1 89.4 31.2
47.5 31.5 38.0
52.1 11.7 62.9
54.6 45.5 68.5
9.8 70.2 61.0
76.0 93.0 19.6
47.9 13.0 22.9
58.4 72.9 1.4
37.4 35.2 19.9
64.7 57.5 36.4
96.3 2.8 85.1
46.2 44.2 94.7
3.3 2.4 31.3
54.7 98.2 51.0
25.2 49.0 27.6
5.2 80.7 19.8
45.6 78.3 16.9
66.5 78.2 99.7
38.0 23.2 60.7
48.6 5.4 24.3
8.5 17.6 81.0
59.2 14.3 49.1
96.5 42.3 49.6
7.4 15.4 84.6
35.2 6.6 76.5
40.5 67.0 13.6
39.5 63.7 15.4
70.2 6.5 87.9
10.0 65.4 68.6
0.4 48.1 60.2
2.7 7.4 50.6
7.3 16.9 46.2
21.4 80.3 25.5
74.6 98.9 99.9
37.7 73.1 65.0
39.0 75.2 26.7
95.5 43.1 74.9
34.0 92.9 19.6
87.7 31.4 80.3
60.6 33.6 22.9
22.1 68.2 58.7
72.6 37.3 52.4
2.6 17.7 10.6
99.9 36.0 49.6
85.5 52.1 83.1
30.3 91.4 87.1
16.6 4.3 5.8
26.6 41.4 56.3
70.2 12.0 69.1
52.8 5.8 3.1
39.8 13.0 49.8
12.4 77.6 77.9
32.4 5.2 93.7
80.4 95.7 8.4
72.3 13.0 18.8
12.6 29.6 92.3
36.5 51.8 88.1
74.5 97.3 30.6
51.3 80.2 77.3
54.4 14.1 32.9
4.9 8.0 96.1
28.4 4.9 67.5
27.5 76.9 43.7
79.3 0.1 73.3
67.5 31.6 35.0
22.9 57.8 95.0
30.7 84.5 2.9
89.1 70.0 52.9
99.3 65.9 56.9
64.8 6.1 60.1
54.1 79.9 73.0
17.6 88.5 24.7
25.1 71.4 35.3
51.2 81.8 99.6
26.1 46.6 71.2
59.7 90.7 80.8
40.6 51.3 60.7
5.1 6.1 36.7
77.0 13.4 4.1
74.7 55.9 93.8
92.2 74.3 50.1
13.5 97.7 33.3
60.7 82.9 65.6
51.9 62.1 55.1
67.6 62.4 20.6
12.0 45.2 30.6
33.4 3.9 29.5
72.4 50.9 83.8
21.0 13.7 34.1
93.4 13.3 29.5
84.2 50.9 39.7
47.1 61.8 64.8
42.3 79.4 34.1
54.2 6.4 57.6
51.2 73.2 11.6
80.5 90.5 94.6
40.3 55.5 43.8
50.4 16.4 36.6
85.8 72.9 56.0
64.5 6.5 30.3
35.0 3.0 3.3
11.2 14.3 48.0
75.3 27.2 90.9
5.4 41.0 93.3
82.4 17.5 62.5
64.9 55.5 67.9
88.8 40.1 73.8
33.4 92.7 91.0
39.5 75.7 54.8
87.7 12.3 12.4
3.0 89.3 72.3
46.8 6.2 97.4
40.3 48.0 6.3
21.3 97.3 51.8
70.5 16.0 45.5
65.1 88.5 79.0
25.5 32.3 68.1
88.2 43.9 23.8
37.4 88.5 79.1
54.6 32.8 31.5
22.7 33.1 76.7
32.8 37.6 13.6
94.8 41.5 60.7
6.4 75.8 88.8
89.1 49.6 82.5
79.9 9.6 59.3
20.7 83.4 15.3
2.0 49.3 59.8
73.4 65.7 41.1
28.4 14.9 22.0
78.5 71.8 24.3
94.7 73.9 92.9
47.7 25.2 79.9
39.1 75.2 27.5
66.1 65.9 18.7
51.0 55.6 17.6
14.9 57.9 29.1
82.8 96.3 4.9
31.8 27.2 31.4
18.3 82.2 6.8
59.3 25.8 64.6
30.3 21.2 37.1
57.7 62.2 42.3
70.5 17.6 32.6
32.8 71.3 1.5
10.7 30.2 16.8
84.7 16.2 20.2
39.9 71.4 65.7
70.5 20.7 57.4
14.9 52.6 72.2
87.7 74.1 81.9
95.6 13.0 22.0
27.0 6.4 14.0
41.2 1.1 28.8
4.0 63.9 78.4
74.8 86.6 54.1
77.9 62.6 62.7
39.6 84.6 57.2
13.5 16.8 10.2
91.4 15.9 28.9
73.2 31.6 92.6
96.4 37.6 77.5
52.8 60.2 63.6
78.5 2.0 47.3
74.7 2.1 66.9
77.4 14.8 37.7
9.3 48.8 2.5
88.6 13.2 91.8
28.6 10.7 94.2
17.8 66.6 55.0
79.3 1.4 2.5
98.5 64.3 47.2
69.1 40.6 46.9
20.7 50.3 24.1
15.7 48.6 88.5
38.0 56.1 10.8
10.6 62.4 46.4
0.1 48.3 45.5
28.0 76.2 52.3
25.4 86.3 80.2
38.0 6.8 64.7
17.2 46.5 25.1
71.6 69.8 31.6
49.1 63.9 21.0
35.9 30.5 26.6
65.8 10.2 93.3
30.4 45.0 76.2
13.0 15.1 65.4
32.1 53.0 78.8
30.4 77.9 29.4
15.5 60.0 47.6
49.8 60.9 3.5
63.7 52.5 78.2
49.1 18.6 24.3
79.6 70.8 63.0
46.3 72.1 82.1
28.0 67.8 98.1
43.0 1.0 41.7
75.8 34.1 74.3
22.4 55.7 72.6
14.9 40.0 68.3
97.0 80.7 6.5
36.9 2.8 25.5
54.1 31.5 26.6
71.8 99.2 71.8
65.7 51.0 41.2
91.0 81.5 54.1
56.0 54.5 9.5
73.2 79.9 62.0
75.6 81.1 40.0
62.6 89.2 55.8
49.8 78.3 73.5
73.2 44.3 56.1
55.1 77.8 31.1
34.4 92.4 42.7
73.9 0.4 67.6
82.4 95.7 53.1
56.9 89.5 85.8
38.7 26.4 12.0
45.2 32.5 62.7
59.6 38.5 82.0
75.8 8.4 54.7
91.7 53.4 25.1
81.9 76.4 34.5
93.6 6.7 86.4
43.2 2.0 24.6
2.0 5.5 74.7
65.8 53.4 34.6
32.4 67.5 77.0
85.0 5.9 88.6
74.4 45.6 25.8
89.5 8.3 99.9
63.5 38.6 87.9
95.3 16.8 68.5
46.7 63.2 61.2
68.6 88.6 99.9
